"HOUSEHOLD DATA
ANNUAL AVERAGES
11. Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2018,,,,,
,"Total
employed",Percent of total employed,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino"
,,,,,,
Counter and rental clerks,114,40.6,71.4,20.4,5.8,24.6
Parts salespersons,127,10.4,82.2,9.2,2.8,19.3
Retail salespersons,"3,147",48.7,78.7,12.6,5.1,18.2
Advertising sales agents,221,50.4,81.2,10.4,4.8,14.9
Insurance sales agents,619,51.4,83.3,8.7,5.3,11.6
"Securities, commodities, and financial services sales agents",231,31.8,85.6,6.3,6.8,11.9
Travel agents,79,85.5,77.9,17.7,4.4,9.9
"Sales representatives, services, all other",516,30.0,89.0,6.5,2.9,7.5
"Sales representatives, wholesale and manufacturing","1,273",27.6,90.8,4.1,2.9,11.2
"Models, demonstrators, and product promoters",60,72.1,79.0,8.8,7.2,13.4
Real estate brokers and sales agents,"1,072",56.2,86.0,6.4,6.1,10.8
Sales engineers,34,–,–,–,–,–
Telemarketers,58,65.3,69.3,23.3,3.7,22.9
"Door-to-door sales workers, news and street vendors, and related workers",158,60.9,86.1,10.6,1.3,22.8
"Sales and related workers, all other",275,48.4,85.0,8.7,4.5,7.2
Office and administrative support occupations,"17,655",71.6,77.1,14.4,4.6,16.9
First-line supervisors of office and administrative support workers,"1,450",71.7,81.6,11.2,3.5,13.5
"Switchboard operators, including answering service",23,–,–,–,–,–
Telephone operators,30,–,–,–,–,–
"Communications equipment operators, all other",9,–,–,–,–,–
Bill and account collectors,122,71.1,69.4,24.0,1.4,21.3
Billing and posting clerks,490,87.1,77.0,13.8,5.2,18.0
"Bookkeeping, accounting, and auditing clerks","1,045",86.7,87.5,7.0,3.7,10.2
Gaming cage workers,8,–,–,–,–,–
Payroll and timekeeping clerks,121,89.8,78.2,13.3,6.6,14.9
Procurement clerks,31,–,–,–,–,–
Tellers,300,85.4,77.2,12.7,6.1,17.8
"Financial clerks, all other",92,61.9,76.7,9.2,7.7,23.2
Brokerage clerks,4,–,–,–,–,–
Correspondence clerks,4,–,–,–,–,–
"Court, municipal, and license clerks",83,76.5,79.1,12.6,2.9,16.1
"Credit authorizers, checkers, and clerks",54,64.5,67.2,28.9,2.7,12.3
Customer service representatives,"2,563",63.7,72.8,17.8,4.7,19.1
"Eligibility interviewers, government programs",68,80.0,65.9,25.2,3.1,20.5
File clerks,161,76.8,78.3,15.1,5.5,15.5
"Hotel, motel, and resort desk clerks",131,68.6,71.2,13.7,5.9,21.8
"Interviewers, except eligibility and loan",152,81.6,70.0,21.7,3.1,16.4
"Library assistants, clerical",103,78.0,84.9,9.5,3.8,8.3
Loan interviewers and clerks,117,80.8,74.5,13.9,9.5,11.7
New accounts clerks,23,–,–,–,–,–
Order clerks,78,49.1,70.3,13.2,8.2,17.7
"Human resources assistants, except payroll and timekeeping",57,83.3,68.8,20.1,6.0,12.3
Receptionists and information clerks,"1,324",90.5,79.5,13.2,3.2,20.4
Reservation and transportation ticket agents and travel clerks,128,59.4,67.0,17.3,5.3,21.9
"Information and record clerks, all other",121,77.6,79.7,11.7,6.8,15.2
Cargo and freight agents,30,–,–,–,–,–
Couriers and messengers,293,21.1,70.8,21.1,4.3,20.3
Dispatchers,293,60.7,79.3,15.2,2.8,13.3
"Meter readers, utilities",24,–,–,–,–,–
Postal service clerks,120,54.9,46.5,40.9,8.3,8.6
Postal service mail carriers,302,39.8,64.8,23.6,6.9,13.3
"Postal service mail sorters, processors, and processing machine operators",58,56.6,50.5,41.1,4.4,11.7
"Production, planning, and expediting clerks",269,54.0,80.0,9.4,7.3,12.5
"Shipping, receiving, and traffic clerks",578,29.1,76.2,15.2,3.1,23.6
Stock clerks and order fillers,"1,527",37.4,70.2,19.7,4.5,22.9
"Weighers, measurers, checkers, and samplers, recordkeeping",56,38.9,86.1,9.5,4.0,18.1
Secretaries and administrative assistants,"2,569",94.0,84.8,8.9,3.3,13.5
Computer operators,73,63.8,72.4,16.8,9.5,10.7
Data entry keyers,270,77.2,71.7,17.0,9.1,18.1
Word processors and typists,67,85.1,62.9,22.2,8.0,15.9
Desktop publishers,1,–,–,–,–,–
Insurance claims and policy processing clerks,244,82.5,80.7,14.9,2.6,14.8
"Mail clerks and mail machine operators, except postal service",63,41.5,70.5,20.6,2.5,20.5
"Office clerks, general","1,309",84.5,75.7,14.2,7.0,19.1
"Office machine operators, except computer",24,–,–,–,–,–
Proofreaders and copy markers,11,–,–,–,–,–
Statistical assistants,40,–,–,–,–,–
"Office and administrative support workers, all other",540,78.5,78.1,14.0,5.0,14.1
,,,,,,
"Natural resources, construction, and maintenance occupations","14,471",5.1,86.2,7.6,2.2,31.9
"Farming, fishing, and forestry occupations","1,121",24.3,89.9,3.8,2.2,46.0
"First-line supervisors of farming, fishing, and forestry workers",60,16.5,96.9,0.4,0.1,33.6
Agricultural inspectors,22,–,–,–,–,–
Animal breeders,5,–,–,–,–,–
"Graders and sorters, agricultural products",85,57.8,84.0,7.6,5.3,44.2
Miscellaneous agricultural workers,833,23.4,90.3,3.6,1.7,52.8
Fishers and related fishing workers,39,–,–,–,–,–
Hunters and trappers,3,–,–,–,–,–
Forest and conservation workers,16,–,–,–,–,–
Logging workers,58,2.6,94.6,1.0,3.1,8.5
Construction and extraction occupations,"8,338",3.4,87.5,7.1,1.6,37.0
First-line supervisors of construction trades and extraction workers,634,3.5,92.2,4.2,0.8,23.0
Boilermakers,20,–,–,–,–,–
"Brickmasons, blockmasons, and stonemasons",143,1.9,87.1,9.3,1.5,35.5
Carpenters,"1,375",2.2,86.1,6.2,2.3,39.1
"Carpet, floor, and tile installers and finishers",164,1.9,86.5,8.4,0.7,46.4
"Cement masons, concrete finishers, and terrazzo workers",50,0.0,79.3,12.5,0.0,46.6
Construction laborers,"2,110",3.7,87.4,7.5,1.6,47.6
"Paving, surfacing, and tamping equipment operators",21,–,–,–,–,–
Pile-driver operators,1,–,–,–,–,–
Operating engineers and other construction equipment operators,342,2.0,89.0,7.5,0.3,17.4
"Drywall installers, ceiling tile installers, and tapers",164,1.6,88.1,4.6,0.6,70.2
Electricians,887,2.4,86.9,8.2,1.8,23.3
Glaziers,45,–,–,–,–,–
Insulation workers,60,2.5,84.2,8.7,1.9,38.9
"Painters, construction and maintenance",607,7.2,87.6,5.7,2.3,54.9
Paperhangers,5,–,–,–,–,–
"Pipelayers, plumbers, pipefitters, and steamfitters",641,3.5,88.5,8.2,1.3,26.6
Plasterers and stucco masons,19,–,–,–,–,–
Reinforcing iron and rebar workers,3,–,–,–,–,–
Roofers,201,2.6,86.7,6.6,1.8,56.3
Sheet metal workers,147,2.8,88.5,7.7,1.3,23.3
Structural iron and steel workers,60,2.2,81.7,6.3,4.4,22.9
Solar photovoltaic installers,16,–,–,–,–,–
"Helpers, construction trades",77,5.6,80.6,13.3,1.7,35.9
Construction and building inspectors,108,14.0,85.6,7.7,2.2,8.4
Elevator installers and repairers,25,–,–,–,–,–
Fence erectors,33,–,–,–,–,–
Hazardous materials removal workers,36,–,–,–,–,–
Highway maintenance workers,105,3.9,82.8,12.2,0.7,12.7
Rail-track laying and maintenance equipment operators,10,–,–,–,–,–
Septic tank servicers and sewer pipe cleaners,9,–,–,–,–,–
Miscellaneous construction and related workers,28,–,–,–,–,–
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",30,–,–,–,–,–
"Earth drillers, except oil and gas",22,–,–,–,–,–
"Explosives workers, ordnance handling experts, and blasters",12,–,–,–,–,–
Mining machine operators,65,4.9,86.0,6.7,0.8,18.1
"Roof bolters, mining",1,–,–,–,–,–
"Roustabouts, oil and gas",10,–,–,–,–,–
Helpers--extraction workers,2,–,–,–,–,–
Other extraction workers,49,–,–,–,–,–
"Installation, maintenance, and repair occupations","5,012",3.7,83.4,9.4,3.3,20.1
"First-line supervisors of mechanics, installers, and repairers",280,5.9,87.0,7.4,1.6,12.9
"Computer, automated teller, and office machine repairers",185,13.7,75.6,14.0,7.6,14.7
Radio and telecommunications equipment installers and repairers,136,13.6,73.4,16.0,8.8,19.1
Avionics technicians,13,–,–,–,–,–
"Electric motor, power tool, and related repairers",26,–,–,–,–,–
"Electrical and electronics installers and repairers, transportation equipment",1,–,–,–,–,–
"Electrical and electronics repairers, industrial and utility",11,–,–,–,–,–
"Electronic equipment installers and repairers, motor vehicles",5,–,–,–,–,–
Electronic home entertainment equipment installers and repairers,38,–,–,–,–,–
Security and fire alarm systems installers,63,0.7,86.9,7.9,1.0,22.7
Aircraft mechanics and service technicians,164,3.6,82.4,9.1,5.0,19.4
Automotive body and related repairers,152,1.8,91.3,5.0,1.6,30.9
Automotive glass installers and repairers,24,–,–,–,–,–
